year,month,month_num,revenue,bookings
2022,Sep,9,1049756.07,832
2022,Oct,10,1230815.64,891
2022,Nov,11,1156746.11,823
2022,Dec,12,1242484.78,896
2023,Jan,1,1373553.45,1034
2023,Feb,2,1108559.65,831
2023,Mar,3,1203387.92,951
2023,Apr,4,1076723.98,814
2023,May,5,1138647.6,890
2023,Jun,6,1066375.67,840
2023,Jul,7,1086651.75,816
2023,Aug,8,1230501.55,922
2023,Sep,9,1110738.31,812
2023,Oct,10,1124717.87,883
2023,Nov,11,1170095.03,852
2023,Dec,12,1210829.99,926
2024,Jan,1,1458416.76,1064
2024,Feb,2,1194992.96,928
2024,Mar,3,1175255.93,921
2024,Apr,4,1156984.48,919
2024,May,5,1221448.86,965
2024,Jun,6,1017137.36,767
2024,Jul,7,1266801.98,974
2024,Aug,8,1163513.0,898
2024,Sep,9,1152795.34,861
2024,Oct,10,1126590.91,873
2024,Nov,11,1081636.58,837
2024,Dec,12,1126218.16,860
2025,Jan,1,1380559.18,1017
2025,Feb,2,1250589.2,959
2025,Mar,3,1176914.31,916
2025,Apr,4,1192609.3,941
2025,May,5,1160524.74,891
2025,Jun,6,1159799.48,883
2025,Jul,7,1190643.15,907
2025,Aug,8,1091302.45,845
2025,Sep,9,1213042.01,919
2025,Oct,10,1323603.61,989
2025,Nov,11,1155117.95,855
2025,Dec,12,1122439.64,863
2026,Jan,1,1368226.37,1056
2026,Feb,2,1082330.17,861
2026,Mar,3,1333026.36,1021
2026,Apr,4,1216279.08,910
2026,May,5,1211104.03,893
2026,Jun,6,1245221.75,904
2026,Jul,7,1324770.85,932
2026,Aug,8,1249201.79,874
2026,Sep,9,378815.59,274
